Codigo,Denominacion,Cargos,Abonos,Saldo Actual
41060201202,Interés moratorios Vigentes (Prestamos Personales), -   , -   , -   
41080101201,Intereses y comisiones Créditos Vigentes (Préstamos Microcréditos Reestructurados), -   , -   , -   
41080101202,Interés moratorios Vigentes (Prestamos Microcreditos Reestructurados), -   , -   , -   
41090101201,Intereses y comisiones Créditos Vencidos (Préstamos Microcréditos), -   , 56'795.08 ,-132'652.12 
41080101202,Interés moratorios Vencidos (Prestamos Microcreditos), -   , -   , -   
41090201201,Intereses y comisiones Créditos Vencidos (Préstamos Personales), -   , -   , -   
41090201202,Interés moratorios Vencidos (Prestamos Personales), -   , -   , -   
41100101201,Intereses y comisiones Créditos Cobro Judicial (Préstamos Microcréditos), -   , -   , -   
42030101201,Disminucion de provision para cartera de creditos, -   , -   ,-54'713.04 
43020501201,OTROS INGRESOS GENERADOS POR OTROS ACTIVOS, -   , -   , -   
43430301101,Ingresos Operativos varios, 36'148.55 , 353.99 ,-95'237.25 
45450101101,Ingresos por efectos cambiarios (Fondos disponibles), 91.56 , 753.02 ,-987'084.56 
51040501201,CARGOS POR PRESTAMOS DE OTRAS INSTITUCIONES DEL PAIS, -   , -   , -   
51040801301,Cargos por Préstamos con Otras Instituciones Financieras del Pais Mayor a un año, -   , -   , -   
51040901201,CARGOS POR OTRAS OBLIGACIONES POR FINANCIAMIENTOS, -   , -   , 62'505.59 
52010101201,Constitución de Provisión por Cartera de Créditos, 153'288.52 , -   , 189'676.49 
52020201201,Saneamiento sobre intereses y comisiones de cartera de credito, 1'033.90 , 631.04 , 402.87 
53010102201,Comisiones por Giros y Transferencias, -   , -   , 5'933.14 
53020401201,Amortización de Software, -   , -   , 1'403.81 
54010101201,Sueldos de Personal Permanente, 248'109.97 , 29'285.04 , 2'430'743.66 
54010102301,Sueldos de Personal Contratado, -   , -   , -   
54010103301,Sobresueldos, -   , -   , -   
54010104201,Comisiones, 12'751.69 , -   , 176'865.33 
54010106201,Tiempo Extraordinario, -   , -   , -   
54010107201,Viaticos , 3'090.00 , -   , 31'676.94 
54010108201,Aguinaldos, 23'609.74 , 373.71 , 179'077.85 
54010109201,Vacaciones, 16'244.72 , -   , 174'803.27 
54010110201,Indemnización , 16'244.72 , -   , 171'182.78 
54010111201,Jubilaciones y/o Retiros, -   , -   , -   
54010113201,Bonificaciones e Incentivos (Celebraciones), 2'136.30 , -   , 31'112.05 
54010113202,Bonificaciones e Incentivos (Convenio), 20'203.92 , 10'714.20 , 107'448.80 
54010115201,Seguro Social Aporte Patronal, 53'732.78 , -   , 586'361.75 
54010116201,Aporte al Instituto Nacional Tecnológico (INATEC), 5'217.24 , -   , 56'164.08 
54010117201,Gastos de cafeteria, 1'665.37 , -   , 10'846.87 
54010119201,Uniformes, -   , 1'300.00 , 21'085.12 
54010121201,Capacitación , -   , -   , 14'832.84 
54010199201,Otros Gastos de Personal , -   , -   , 7'498.94 
54020301201,Servicios de Información, 3'662.43 , 3'662.43 , 43'949.16 
54029901201,Honorarios profesionales, 40'241.46 , -   , 506'594.90 
54029901202,Otros Servicios Contratados (Servicio de GPS ), 1'872.20 , -   , 22'778.17 
54030101201,Pasajes y Traslados, -   , -   , -   
54030201201,FLETES, 200.00 , 100.00 , 521.18 
54030401201,"Combustible, Lubricantes y Otros", 15'372.10 , -   , 147'187.36 
54030401301,"Combustible, Lubricantes y Otros", -   , -   , -   
54030901201,Depreciacion de Vehiculos, 5'127.40 , -   , 48'310.01 
54031001201,"Telefonos, Telefax, fax (Celulares)", 6'722.00 , -   , 72'217.98 
54031001202,"Telefonos, Telefax, fax", 920.28 , -   , 8'398.00 
54039901201,Otros Gastos de Transporte y Comunicación (Internet), 2'527.08 , -   , 20'314.67 
54040301203,Mantenimiento y reparación de equipo de oficina y computo, -   , -   , 41'919.80 
54040401201,Agua, 314.82 , 2'173.25 , 7'246.00 
54040401202,Energía eléctrica, 1'697.00 , -   , 17'724.96 
54040501201,Alquileres de Inmuebles, 34'063.53 , -   , 381'284.61 
54040801201,Depreciación  de Equipos y Mobiliario, 2'321.42 , -   , 24'176.56 
54040801301,Depreciación  de Equipos y Mobiliario, -   , -   , -   
54040901201,Depreciación de Equipos de cómputo, 3'626.42 , -   , 30'477.53 
54050101201,"Impuestos, Multas y Tasas Municipales", 6'038.39 , -   , 70'408.47 
54050401201,Amortizacion de gastos de organización e instalacion, 815.83 , -   , 8'974.14 
54050601201,Amortizaciones de otros cargos diferidos, 1'144.51 , -   , 3'082.55 
54050701201,"Papeleria, utiles y otros materiales de Limpieza", 11'541.13 , -   , 161'869.77 
54050701202,"Papeleria, utiles y otros materiales (Materiales de oficina)", 1'732.96 , -   , 27'113.87 
54050701301,"Papeleria, utiles y otros materiales de Limpieza", -   , -   , -   
54050801201,Gastos Legales, -   , -   , 88'713.46 
54050901201,Suscripciones y afiliaciones, -   , -   , 6'317.69 
54051001201,"Propaganda, Publicidad y Promociones", 15'473.05 , -   , 27'218.88 
54059901201,Otros Gastos Generales (Beneficios a Clientes por Pronto pago), 10'332.11 , -   , 124'288.80 
54059901202,Otros Gastos Generales (Gastos no deducibles), 33'713.79 , 125.69 , 118'916.12 
54059901203,Otros Gastos Generales, -   , -   , -   
54059901301,Otros Gastos Generales, 31'753.04 , -   , 61'947.43 
55303091101,Gastos operativos varios, -   , -   , -   
55550101101,Gastos por Efectos Cambiarios (Fondos Disponibles), 2'208.59 , 24'380.00 , 16'615.82 
55114110901,Otros gastos financieros diversos, -   , -   , -   
56010101201,Aportes al Presupuesto de la CONAMI, 3'502.92 , -   , 38'798.50 
63010101201,Resultado Neto del Ejercicio, -   , -   , -   
63010201201,Resultado Neto del Ejercicio, -   , 91'898.94 , 981'984.61 
